date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-01-09,158.5454,158.948,156.4736,157.1698,4322284,4322284,-0.49488,-0.314,157.4492,"Jan 9, 14",0
2014-01-10,157.9499,158.168,156.2472,157.0692,4023089,4023089,-0.100653,-0.064,156.9879,"Jan 10, 14",-0.000640072074915246
2014-01-13,156.2304,156.8092,154.2173,154.469,5789107,5789107,-2.6002,-1.655,154.8575,"Jan 13, 14",-0.017183962822374367
2014-01-14,155.2239,156.3713,154.2356,155.9452,4619509,4619509,1.4762,0.956,155.6201,"Jan 14, 14",-0.007791573190269437
2014-01-15,155.8613,158.2351,155.5845,157.4718,4829291,4829291,1.5266,0.979,157.5421,"Jan 15, 14",0.0019214887338406773
2014-01-16,157.2956,158.5203,156.6833,158.3273,4775167,4775167,0.855551,0.543,157.8277,"Jan 16, 14",0.007364646388810056
2014-01-17,157.7234,160.0468,157.5724,159.4429,7671146,7671146,1.1156,0.705,158.6359,"Jan 17, 14",0.014462702122163414
2014-01-21,159.5603,159.6945,156.675,158.0505,11121410,11121410,-1.3924,-0.873,157.5948,"Jan 21, 14",0.00560349380097188
2014-01-22,152.0533,153.9154,150.7029,152.8669,13800586,13800586,-5.1836,-3.28,152.5131,"Jan 22, 14",-0.027377396929944696
2014-01-23,152.1791,154.0999,151.5752,153.2695,6974334,6974334,0.402611,0.263,151.5591,"Jan 23, 14",-0.024815836121188775
2014-01-24,152.0281,153.3401,150.6777,150.6777,6938768,6938768,-2.5918,-1.691,135.4798,"Jan 24, 14",-0.04130628148664706
2014-01-27,150.6483,150.6861,149.0169,149.2182,5209244,5209244,-1.4595,-0.969,150.6392,"Jan 27, 14",-0.050592416609297794
2014-01-28,149.3441,149.6796,147.7588,148.3375,5336989,5336989,-0.880714,-0.59,148.4362,"Jan 28, 14",-0.056195910410269674
2014-01-29,147.6078,149.7467,147.5323,147.9601,4971142,4971142,-0.37745,-0.254,142.6356,"Jan 29, 14",-0.058597135073022916
2014-01-30,148.6059,149.1847,147.9265,148.7653,4854397,4854397,0.805225,0.544,148.5774,"Jan 30, 14",-0.053474013455511255
2014-01-31,147.7168,149.1637,147.071,148.1949,5195381,5195381,-0.570365,-0.383,148.2228,"Jan 31, 14",-0.05710320939518927
2014-02-03,147.6413,147.6413,144.8734,145.0244,7187767,7187767,-3.1706,-2.139,144.8691,"Feb 3, 14",-0.07727565982777858
2014-02-04,145.5528,145.7373,144.5714,144.974,4351180,4351180,-0.050327,-0.035,144.057,"Feb 4, 14",-0.07759633211978395
2014-02-05,144.4288,146.7606,144.4288,146.1483,4714375,4714375,1.1743,0.81,145.4675,"Feb 5, 14",-0.07012479496697205
2014-02-06,146.7218,147.4639,146.57,147.3121,4292478,4292478,1.1638,0.796,147.1182,"Feb 6, 14",-0.06272006454166146
2014-02-07,148.1302,149.7495,147.6495,149.488,4725647,4725647,2.1759,1.477,146.94,"Feb 7, 14",-0.04887580183979371
2014-02-10,149.2519,149.8254,148.6447,149.3953,3544486,3544486,-0.092773,-0.062,149.4656,"Feb 10, 14",-0.04946560980544619
2014-02-11,149.117,152.1362,149.1085,151.5543,4654207,4654207,2.159,1.445,151.3929,"Feb 11, 14",-0.03572887412212777
2014-02-12,151.4025,152.8615,151.1832,152.0097,3984148,3984148,0.455423,0.301,152.3524,"Feb 12, 14",-0.032831370912223594
